id,language,language_code,note
1,Afrikaans,af,
2,Albanian,sq,
3,Amharic,am,
4,Arabic,ar,
5,Armenian,hy,
6,Azerbaijani,az,
7,Basque,eu,
8,Belarusian,be,
9,Bengali,bn,
10,Bosnian,bs,
11,Bulgarian,bg,
12,Catalan,ca,
13,Cebuano,ceb,ceb (ISO-639-2)
14,Chinese (Simplified),zh,zh-CN or zh (BCP-47)
15,Chinese (Traditional),zh-TW,zh-TW (BCP-47)
16,Corsican,co,
17,Croatian,hr,
18,Czech,cs,
19,Danish,da,
20,Dutch,nl,
21,English,en,
22,Esperanto,eo,
23,Estonian,et,
24,Finnish,fi,
25,French,fr,
26,Frisian,fy,
27,Galician,gl,
28,Georgian,ka,
29,German,de,
30,Greek,el,
31,Gujarati,gu,
32,Haitian Creole,ht,
33,Hausa,ha,
34,Hawaiian,haw,haw (ISO-639-2)
35,Hebrew,he,he or iw
36,Hindi,hi,
37,Hmong,hmn,hmn (ISO-639-2)
38,Hungarian,hu,
39,Icelandic,is,
40,Igbo,ig,
41,Indonesian,id,
42,Irish,ga,
43,Italian,it,
44,Japanese,ja,
45,Javanese,jv,
46,Kannada,kn,
47,Kazakh,kk,
48,Khmer,km,
49,Kinyarwanda,rw,
50,Korean,ko,
51,Kurdish,ku,
52,Kyrgyz,ky,
53,Lao,lo,
54,Latvian,lv,
55,Lithuanian,lt,
56,Luxembourgish,lb,
57,Macedonian,mk,
58,Malagasy,mg,
59,Malay,ms,
60,Malayalam,ml,
61,Maltese,mt,
62,Maori,mi,
63,Marathi,mr,
64,Mongolian,mn,
65,Myanmar (Burmese),my,
66,Nepali,ne,
67,Norwegian,no,
68,Nyanja (Chichewa),ny,
69,Odia (Oriya),or,
70,Pashto,ps,
71,Persian,fa,
72,Polish,pl,
73,"Portuguese (Portugal, Brazil)",pt,
74,Punjabi,pa,
75,Romanian,ro,
76,Russian,ru,
77,Samoan,sm,
78,Scots Gaelic,gd,
79,Serbian,sr,
80,Sesotho,st,
81,Shona,sn,
82,Sindhi,sd,
83,Sinhala (Sinhalese),si,
84,Slovak,sk,
85,Slovenian,sl,
86,Somali,so,
87,Spanish,es,
88,Sundanese,su,
89,Swahili,sw,
90,Swedish,sv,
91,Tagalog (Filipino),tl,
92,Tajik,tg,
93,Tamil,ta,
94,Tatar,tt,
95,Telugu,te,
96,Thai,th,
97,Turkish,tr,
98,Turkmen,tk,
99,Ukrainian,uk,
100,Urdu,ur,
101,Uyghur,ug,
102,Uzbek,uz,
103,Vietnamese,vi,
104,Welsh,cy,
105,Xhosa,xh,
106,Yiddish,yi,
107,Yoruba,yo,
108,Zulu,zu,
