id,keyword_en,category,scrape,reference
1,cough,symptoms,yes,
2,fever,symptoms,yes,
3,tired,symptoms,yes,
4,difficulty breathing,symptoms,no,
5,loss of smell,symptoms,yes,
6,eye pain,symptoms,no,
7,coronavirus,coronavirus general,yes,
8,covid-19,coronavirus general,yes,
9,ventilators,treatment,yes,
10,disinfectants,prevention,no,
11,thermometers,treatment,yes,
12,hospital or hospital bed,treatment,no,
13,hydroxychloroquine,treatment,no,
14,face mask,prevention,yes,
15,toilet paper,treatment,no,
16,doctor,treatment,yes,
17,stay at home,prevention,yes,
18,wash hands,prevention,yes,
19,social distance,prevention,yes,
20,online education,prevention,no,
21,unemployment,potential consequences,yes,
22,telework,prevention,yes,
23,debt,potential consequences,yes,
24,therapy,mental health,yes,
25,psychology,mental health,no,
26,gender-based violence or violence against women,potential consequences,no,
27,what are the symptoms of coronavirus,coronavirus general,yes,
28,I have coronavirus,coronavirus general,yes,
29,I can't smell,symptoms,yes,
30,I can't breath,symptoms,no,
31,my eyes hurt,symptoms,yes,
32,I have a fever,symptoms,yes,
33,how to treat coronavirus,coronavirus general,yes,
34,coronavirus test,coronavirus general,yes,
35,coronavirus emergency number,coronavirus general,no,
36,coronavirus help,coronavirus general,yes,
37,anosmia,symptoms,yes,
38,I stay at home,prevention,no,
39,social isolation,prevention,yes,
40,health professionals,treatment,no,
41,doctors,treatment,no,
42,chloroquine,treatment,yes,
43,vertical insulation,prevention,no,
44,breathing,symptoms,no,
45,covid symptoms,coronavirus general,yes,
46,coronavirus symptoms,coronavirus general,yes,
47,corona symptoms,coronavirus general,yes,
48,loss of taste,symptoms,yes,
49,anxiety,mental health,yes,
50,suicide,mental health,yes,
51,depression,mental health,yes,
52,insomnia,mental health,yes,
53,panic,mental health,yes,
54,loneliness,mental health,yes,http://ftp.iza.org/dp13204.pdf
55,boredom,mental health,yes,http://ftp.iza.org/dp13204.pdf
56,contentment,mental health,no,http://ftp.iza.org/dp13204.pdf
57,divorce,potential consequences,yes,http://ftp.iza.org/dp13204.pdf
58,impairment,mental health,no,http://ftp.iza.org/dp13204.pdf
59,irritability,mental health,no,http://ftp.iza.org/dp13204.pdf
60,sadness,mental health,yes,http://ftp.iza.org/dp13204.pdf
61,sleep,mental health,no,http://ftp.iza.org/dp13204.pdf
62,stress,mental health,yes,http://ftp.iza.org/dp13204.pdf
63,well-being,mental health,no,http://ftp.iza.org/dp13204.pdf
64,worry,mental health,yes,http://ftp.iza.org/dp13204.pdf
65,fever treatment,treatment,yes,
66,I have a fever,symptoms,yes,
67,I have a cough,symptoms,yes,
68,fatigue,symptoms,yes,
69,sore throat,symptoms,yes,
70,shortness of breath,symptoms,yes,
71,fatigue,symptoms,yes,
72,pneumonia,symptoms,yes,
73,I can't taste,symptoms,yes,
74,loan,potential consequences,no,
75,ageusia,symptoms,yes,
76,unemployment benefits,potential consequences,yes,https://www.etla.fi/wp-content/uploads/tuhkuri_NTTS_2015_abstract.pdf
77,unemployment office,potential consequences,yes,https://www.chicagofed.org/publications/blogs/chicago-fed-insights/2020/closer-look-google-trends-unemployment
78,unemployment insurance,potential consequences,yes,
79,file for unemployment,potential consequences,yes,
80,vaccine,treatment,yes,
81,does covid vaccine change dna,vaccine,yes,
82,covid vaccine change dna,vaccine,yes,
83,safety of covid vaccine,vaccine,yes,
84,covid vaccine safety,vaccine,yes,
85,covid vaccine side effects,vaccine,yes,
86,covid vaccine dangerous,vaccine,yes,
87,long term effects of covid vaccine,vaccine,yes,
88,negative side effects of covid vaccine,vaccine,yes,
89,is the covid vaccine the mark of the beast,vaccine,yes,
90,is covid vaccine the mark of the beast,vaccine,yes,
91,covid vaccine,vaccine,yes,
92,covid vaccine cause infertility,vaccine,yes,
93,can covid vaccine cause infertility,vaccine,yes,
94,does covid vaccine cause infertility,vaccine,yes,
95,covid vaccine infertility,vaccine,yes,
96,covid vaccine mark of the best,vaccine,yes,
97,vaccine cause autism,vaccine,yes,
98,covid vaccine austism,vaccine,yes,
99,covid vaccine cause autism,vaccine,yes,
100,covid microchip,vaccine,yes,
101,covid vaccine microchip,vaccine,yes,
102,stop the count,us election missinformation,no,
103,election fraud,us election missinformation,no,
104,biden stole the election,us election missinformation,no,
105,hunter biden laptop,us election missinformation,no,
106,biden election fraud,us election missinformation,no,
107,fox news,us election missinformation,no,
108,covid vaccine magnetic,us election missinformation,no,
109,election stolen,us election missinformation,no,
110,qanon,us election missinformation,no,
111,newsmax,us election missinformation,no,
112,parler,us election missinformation,no,
113,bill gates microchip,missinformation,no,
114,panic attack,mental health,yes,
115,worried health,mental health,yes,
116,hysteria,mental health,yes,
117,overwhelmed,mental health,yes,
118,anxiety symptoms,mental health,yes,
119,anxiety attack,mental health,yes,
120,symptoms of panic attack,mental health,yes,
121,depressed,mental health,yes,
122,lonely,mental health,yes,https://doi.apa.org/fulltext/2020-59192-001.html
123,suicidal,mental health,yes,https://doi.apa.org/fulltext/2020-59192-001.html
124,abuse,mental health,yes,https://doi.apa.org/fulltext/2020-59192-001.html
125,therapist near me,mental health,yes,https://doi.apa.org/fulltext/2020-59192-001.html
126,online therapist,mental health,yes,https://doi.apa.org/fulltext/2020-59192-001.html
127,deep breathing,mental health,yes,https://doi.apa.org/fulltext/2020-59192-001.html
128,body scan meditation,mental health,yes,https://doi.apa.org/fulltext/2020-59192-001.html
129,back pain,pain,yes,
130,hand pain,pain,yes,
131,pain,pain,yes,
132,ergonomic,pain,yes,
133,lockdown,prevention,yes,
134,condom,sexual health,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
135,emergency pill,sexual health,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
136,pregnancy test,sexual health,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
137,abortion,sexual health,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
138,plan child,sexual health,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
139,plan other children,sexual health,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
140,pregnant,sexual health,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
141,pregnancy test,sexual health,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
142,wedding,relationships,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
143,delay wedding,relationships,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
144,dating app,relationships,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
145,hinge,relationships,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
146,bumble,relationships,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
147,tinder,relationships,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
148,relationship,relationships,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
149,break up,relationships,yes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248072
150,find new job,potential consequences,yes,
151,job interview,potential consequences,yes,
152,interview tips,potential consequences,yes,
153,nature,potential consequences,yes,
154,hospital,other,yes,
155,football,other,yes,
156,food,other,yes,
157,restaurant,other,yes,
158,ivermectin,vaccine,yes,
159,COVID vaccine mercury,vaccine misinformation,yes,
160,covid vaccine dangerous,vaccine misinformation,yes,
161,Bill Gates BioTerrorist,vaccine misinformation,yes,
162,Antivaccines,vaccine misinformation,yes,
163,Covid vaccine is poison,vaccine misinformation,yes,
164,Fuck vaccines,vaccine misinformation,yes,
165,Medical freedom,vaccine misinformation,yes,
166,Vaccine damage,vaccine misinformation,yes,
167,Vaccine failure,vaccine misinformation,yes,
168,Vaccine harm,vaccine misinformation,yes,
169,Vaccine fraud,vaccine misinformation,yes,
170,Vaccine injuries,vaccine misinformation,yes,
171,Vaccines are poison,vaccine misinformation,yes,
172,Vaccines kill,vaccine misinformation,yes,
173,covid vaccine unsafe,vaccine misinformation,yes,
174,covid vaccine ineffective,vaccine misinformation,yes,
175,blood clots,vaccine misinformation,yes,
176,covid vaccine blood clots,vaccine misinformation,yes,
177,where covid vaccine,vaccine,yes,
178,covid vaccine appointment,vaccine,yes,
179,vaccine appointment,vaccine,yes,
180,pharmacy,vaccine,yes,
181,vaccine near me,vaccine,yes,
182,get covid vaccine near me,vaccine,yes,
183,where get covid vaccine near me,vaccine,yes,
184,where can I get the covid vaccine,vaccine,yes,
185,where to get vaccine covid near me,vaccine,yes,
186,covid vaccine center,vaccine,yes,
187,vaccine near me,vaccine,yes,
